business_name,niche,area,phone,email,website_status,presence_links,fit_note,source_url
Frank Seale Electric Inc,electrical,"Bryan TX (500 S Tabor Ave)",(979) 822-2942,,likely_closed,"Google Maps listing (unclaimed, no reviews)","LIKELY OUT OF BUSINESS -- flagged by owner's 2026-09-01 cold call (reported \"out of business\"); online directories (MapQuest, Yellow Pages) have not caught up and still list it active -- pause outreach until confirmed either way","https://www.google.com/maps/search/Frank+Seale+Electric+500+S+Tabor+Ave+Bryan+TX"
Sanchez Landscaping & Construction Inc,landscaping,"Bryan TX (1102 Groesbeck St)",(979) 775-6263,,none,"Google Maps listing only","Independent lawn/landscaping and general contractor; no website, 3.8/4 Google reviews (thin); source: HubSpot CRM lead, verified 2026-08-30 -- note several unrelated same-surname landscaping businesses in area, confirmed this record by address+phone match","https://www.google.com/maps/search/Sanchez+Lawn+%26+Landscaping+1102+Groesbeck+St+Bryan+TX"
Bernado's Landscaping and Dirtworks,landscaping,"College Station TX",(979) 271-9372,,archived,"Directory listings only (Yellow Pages, ExactSeek) -- no Google Maps listing found","ARCHIVED 2026-09-01: cold-called, no answer.","https://www.yellowpages.com/college-station-tx/bpp"
Dean Plumbing & Repair,plumbing,"College Station TX (9972 Brookwood Ln)",(979) 774-0999,,archived,"Google Maps listing (unclaimed), Facebook page","ARCHIVED 2026-09-01: cold-called, no answer.","https://www.google.com/maps/search/Dean+Plumbing+%26+Repair+9972+Brookwood+Ln+College+Station+TX"
Pete's Trees,tree_service,"Bryan TX (1206 N Parker Ave)",(979) 571-8169,Peteflores44@gmail.com,none,"Facebook page (Petes Tree's, 7 followers), Nextdoor listing -- no own website","Independent tree service; 5.0(9) Google reviews referencing 10 years of service; findtreeservice.com listing is a directory page, not their own site; verified 2026-09-03","https://www.google.com/maps/search/petes+trees+Bryan+TX"
Mike's Complete Tree Services and Landscaping,tree_service,"Bryan TX (7124 Old Goodson Bend Rd)",(979) 587-2064,,none,"Google Maps listing only; only aggregator/directory pages found (findtreeservice.com, Cybo)","Independent tree and landscaping service; 5.0(1) Google review; no website found anywhere in web search; verified 2026-09-03","https://www.google.com/maps/search/Mike%27s+Complete+Tree+Services+and+Landscaping+Bryan+TX"
Static Heating and Air Conditioning,hvac,"Bryan TX (600 N Bryan Ave)",(979) 402-1832,,none,"Facebook page (70+ followers), HomeAdvisor/Angi reviews, Nextdoor","Independent HVAC contractor; 5.0(69) Google reviews; owner Luis Rey per Nextdoor reviews; no website found, only directory/social presence; verified 2026-09-03","https://www.google.com/maps/search/Static+Heating+and+Air+Conditioning+Bryan+TX"
Castillo's Fence,fence,"Bryan TX (4109 Old Hearne Rd)",(979) 218-5206,,none,"Directory listings only (Yelp, Nextdoor, Texas Association of Builders)","Independent fence contractor; 5.0(5) on Google Maps (note: a separate 1.0(1) Yelp rating exists -- mixed reputation signal to flag); no website found; verified 2026-09-03","https://www.google.com/maps/search/Castillo%27s+Fence+Bryan+TX"
MK Fencing & Construction Services,fence,"Brazos County TX (service-area business, no public address)",(979) 595-3050,MKFencingCS@gmail.com,none,"Facebook page (70+ followers), Instagram @mk.fencing (7 followers); referenced domain mkconstruction-services.com is expired/parked on GoDaddy Auctions, not a live site","Independent fence/outdoor construction business run by owner Matt; identifies as women-owned per Google Maps; 5.0(5) reviews; formerly-referenced website domain has since expired; verified 2026-09-03","https://www.google.com/maps/search/MK+Fencing+%26+Construction+Services+Bryan+TX"
Bush's Appliance Repair,appliance_repair,"Bryan TX",(979) 779-1332,,none,"Facebook page (Bush's Appliance, 300+ followers)","Independent appliance repair business run by owner Norman (Norm) Bush, established 2009; 5.0(9) Google reviews; no website found, only Facebook and directory listings; verified 2026-09-03","https://www.google.com/maps/search/Bush%27s+Appliance+Repair+Bryan+TX"
95 Locksmith LLC,locksmith,"College Station TX (mobile/service-area, no public address)",(936) 647-7124,,none,"Google Maps listing only; business registration found on Bizapedia","Independent mobile locksmith LLC registered in College Station TX; Google's own data confirms 'Areas served: College Station and nearby areas'; 5.0(9) reviews; no website; verified 2026-09-03","https://www.google.com/maps/search/95+Locksmith+936-647-7124"
Bucket of Suds Exterior Cleaning,pressure_washing,"Bryan TX (901 Esther Blvd)",(830) 708-2692,,none,"Google Maps listing; BBB profile; no social pages found","Independent pressure washing / exterior cleaning company; 5.0(28) Google reviews; no website found; verified 2026-09-03","https://www.google.com/maps/search/Bucket+of+Suds+Exterior+Cleaning+Bryan+TX"
Larry's Handyman Service,handyman,"College Station TX 77845",(979) 571-8059,,none,"Directory listings only (Yelp)","Independent handyman service established 2019; 5.0(5) Google reviews; no website found; verified 2026-09-03","https://www.google.com/maps/search/Larrys+Handyman+Service+979-571-8059"
DC Custom Seamless Gutters,gutter_service,"Bryan TX",(979) 229-8432,,none,"Facebook page (650+ followers)","Independent seamless gutter installer; 5.0(19) Google reviews; areas served Burleson County and nearby per Google; an aggregator-referenced domain (dccustomseamlessgutters.com) is unindexed/does not resolve, confirming no live website; verified 2026-09-03","https://www.google.com/maps/search/DC+Custom+Seamless+Gutters+979-229-8432"
1st Choice Steam Cleaning,carpet_cleaning,"College Station TX (3215 Sunflower Trail)",(979) 220-8253,,none,"Facebook page (100+ followers), Instagram @1stchoicecarpet (40+ followers), Nextdoor","Independent family-owned carpet/tile/upholstery steam cleaning business run by Jason; 4.9(63) Google reviews; no website found; verified 2026-09-03","https://www.google.com/maps/search/1st+Choice+Steam+Cleaning+979-220-8253"
Maxey Way Window Cleaning Service,window_cleaning,"Bryan TX 77803",(979) 575-1759,,none,"Directory listings only (Yelp, MapQuest)","Independent window cleaning service; 5.0(1) Google review, additional reviews on Yelp; no website found; verified 2026-09-03","https://www.google.com/maps/search/Maxey+Way+Window+Cleaning+979-575-1759"
Sunrise Pool & Spa Services,pool_service,"College Station TX",(979) 587-8462,,none,"Facebook page only","Independent pool and spa cleaning service; 4.9(10) Google reviews; no website found, only Facebook; verified 2026-09-03","https://www.google.com/maps/search/Sunrise+Pool+%26+Spa+Services+979-587-8462"
Smart Water Irrigation Repair,irrigation,"Bryan TX 77807",(979) 446-8716,,none,"Directory listings only (Yelp, Nextdoor)","Independent sprinkler/irrigation repair service; 5.0(14) Google reviews; no website found; verified 2026-09-03","https://www.google.com/maps/search/Smart+Water+Irrigation+Repair+979-446-8716"
All-Tex Roofing,roofing,"College Station TX (Rock Prairie Crossing)",(979) 557-2020,,none,"Directory listings only; no social pages found","Independent roofing contractor; 5.0(26) Google reviews; a domain referenced by aggregators (alltexroof.com) redirects to an unrelated generic content-farm blog, confirming no real live website; verified 2026-09-03","https://www.google.com/maps/search/All-Tex+Roofing+979-557-2020"
Next Plumbing & Heating,plumbing,"Bryan TX (1722 Broadmoor Dr #115)",(979) 314-0898,,verify_before_pitch,"Directory listings only","CAUTION 2026-09-03: 4.8(39) Google reviews, no website confirmed (also checked independently via lpraudit.com industry report). BUT one review alleges this is a lead-resale operation with no master plumber license shown -- however that reviewer (Jarrid Perry) is confirmed to be the co-owner/Master Plumber of a direct competitor (American Plumbing Company, TSBPE #43155), so likely competitor disparagement rather than a reliable complaint. Demo/pitch sheet built; ask about their master plumber license number on the call before pitching, just to be sure.","https://www.google.com/maps/search/Next+Plumbing+%26+Heating+Bryan+TX"
B & B Electric Co,electrical,"Bryan TX (1819 Drillers Dr)",(979) 778-3144,,none,"Directory listings only (Nextdoor, BBB)","Independent electrical contractor, 15+ years in business; 4.4(17) Google reviews; no website found; verified 2026-09-03","https://www.google.com/maps/search/B+%26+B+Electric+Co+Bryan+TX"
Andy's Auto Repair,auto_repair,"Bryan TX (507 S Texas Ave)",(979) 822-1271,,none,"Facebook page (Andy's Auto Repair, 330+ followers)","Independent auto repair shop; 4.0(100) Google reviews; offers oil changes, A/C repair, brakes, starters, alternators; no website found; verified 2026-09-03","https://www.google.com/maps/search/Andy%27s+Auto+Repair+Bryan+TX"
Skyes View Window Cleaning,window_cleaning,"Grimes County TX (Navasota area)",(936) 870-7966,,none,"Facebook page only (family owned)","Independent family-owned window cleaning business serving the Navasota/Grimes County area (immediately adjacent to Bryan/CS); 5.0(3) Google reviews; a window-cleaning domain referenced in their own Facebook post does not resolve to a real business site, confirming no real live website; verified 2026-09-03","https://www.google.com/maps/search/Skyes+View+Window+Cleaning"
All American Septic,septic_service,"Bryan TX (5895 Old Spanish Trl)",(979) 575-4161,,none,"Facebook page (All American Septic & Wastewater Solutions, 70+ followers)","Independent family-owned septic service business, serving since 2007; 5.0(6) Google reviews; only aggregator/directory pages found (septic.com, brazosvalleyseptic.com are third-party directories, not their own site); verified 2026-09-03","https://www.google.com/maps/search/All+American+Septic+Bryan+TX"
Hernandez Pro Drywall & Painting,painting,"Bryan TX (700 E William Joel Bryan Pkwy)",(979) 571-0045,,none,"Google Maps listing only","Independent painting/drywall contractor run by owner Randy; 5.0(25) Google reviews; no website or socials found -- Angi/BBB/Yelp directory listings only; verified 2026-09-05","https://www.google.com/maps/search/Hernandez+Pro+Drywall+%26+Painting+Bryan+TX"
Capitol Custom Tile,tile_flooring,"Bryan TX (100 E 32nd St)",(979) 775-9444,,none,"Google Maps listing only","Independent tile/flooring contractor established 1996; 4.6(5) Google reviews; aggregator-referenced domain capitolcustomtile.com does not resolve, confirming no live website; verified 2026-09-05","https://www.google.com/maps/search/Capitol+Custom+Tile+Bryan+TX"
CRC Cabinet,cabinetry,"Bryan TX (165 Marino Rd)",(979) 778-1684,,none,"Google Maps listing only","Independent custom cabinet maker in business since 1988 (37+ years); 4.9(9) Google reviews incl. an architect praising 10-year-old cabinets; aggregator-referenced domain crccustommfg.com does not resolve, confirming no live website; verified 2026-09-05","https://www.google.com/maps/search/CRC+Cabinet+Bryan+TX"
J&W Asphalt Paving,driveway_paving,"Bryan TX (service-area business, no public address)",(979) 900-8027,,none,"Google Maps listing only","Independent residential/commercial asphalt paving business; 5.0(3) Google reviews; a same-named 'J&W Asphalt' found in web search is a confirmed unrelated Minneapolis-St. Paul MN company (different phone, different area) -- name coincidence, not a chain; no website found; verified 2026-09-05","https://www.google.com/maps/search/J%26W+Asphalt+Paving+Bryan+TX"
Amanda's Mobile Grooming,pet_grooming,"Bryan TX (3011 S College Ave)",(979) 820-3309,,none,"Facebook page (Amanda's Mobile Dog Grooming / Pet Grooming by Amanda)","Independent mobile dog/cat grooming business run by owner Amanda, serving the Brazos Valley since Feb 2011; 4.2(30) Google reviews; no website found, Facebook only; verified 2026-09-05","https://www.google.com/maps/search/Amanda%27s+Mobile+Grooming+Bryan+TX"
Bryan Awnings,awning_installation,"Franklin TX (12212 Riley Green Rd)",(979) 778-8400,,none,"Google Maps listing only (unclaimed)","Family-owned aluminum patio cover/awning sales & installation business, operating since 1975 (50 years); owners Cynthia & John Hughes per BBB; 4.0(1) Google review; no website found in any directory; verified 2026-09-05","https://www.google.com/maps/search/Bryan+Awnings+TX"
Custom Classic Upholstery,upholstery,"Bryan TX (2114 E William Joel Bryan Pkwy)",(979) 731-1902,,none,"Google Maps listing only","Independent furniture/auto/RV upholstery shop; 4.5(31) Google reviews with recent activity (as recent as 2 months ago); no website found; verified 2026-09-05","https://www.google.com/maps/search/Custom+Classic+Upholstery+Bryan+TX"
M&A Flooring,flooring,"College Station TX (2151 Harvey Mitchell Pkwy S Ste 319)",(979) 450-5646,,none,"Google Maps listing only","Independent flooring installer (LVP/carpet) run by Anthony; 5.0(2) Google reviews (thin); aggregator-claimed domain mandaflooring.com does not resolve, confirming no live website; verified 2026-09-05","https://www.google.com/maps/search/M%26A+Flooring+College+Station+TX"
Feral Junk Removal and Hauling LLC,junk_removal,"Bryan TX (2006 Theresa Dr)",(979) 286-6611,,none,"Google Maps listing only","Independent junk removal/hauling LLC; no reviews yet (new/thin listing) but real address and phone confirmed on Google's own place page; no website or socials found; verified 2026-09-05","https://www.google.com/maps/search/Feral+Junk+Removal+and+Hauling+LLC+Bryan+TX"
Danomite Pest Control,pest_control,"College Station TX (2106 Spring Creek)",(979) 696-2427,,none,"Directory listings only (BBB, Nextdoor, Yelp) -- Google's own place page omits a phone number","Independent pest control business, president Dan Schumacher, in business since 2000 (26 years, BBB accredited); 5.0(10) Google reviews; phone confirmed via BBB profile cross-referenced to the same address shown on the Google Maps listing; no website found; verified 2026-09-05","https://www.google.com/maps/search/Danomite+Pest+Control+College+Station+TX"
A&A Handyman Service,handyman,"Bryan TX (1304 Antone St)",(979) 250-2580,,none,"Directory listings only (BBB, Nextdoor, Alignable)","Independent handyman business run by owner Adam, ~10 years in business, offers tile, painting, drywall, pressure washing, fencing, decks, framing; 3.7(3) Google reviews; a similarly-named 'A&A's Handyman Services' website found in search is confirmed to be an unrelated UK-based business -- name coincidence; no website found; verified 2026-09-05","https://www.google.com/maps/search/A%26A+Handyman+Service+Bryan+TX"
Lopez Roofing,roofing,"Bryan TX (2916 Old Hearne Rd)",(979) 823-0825,,none,"Google Maps listing only (unclaimed)","Independent roofing contractor, owner Raul Lopez, in business since 1975 (50 years, BBB A+ accredited); 5.0(8) Google reviews incl. repeat customers (re-roofed same home after the 2016 tornado and again after a recent hailstorm); aggregator-claimed domain lopezroofingtx.com actually resolves to an unrelated roofing company in Eagle Pass/Del Rio TX -- confirmed name coincidence, this business has no real website; verified 2026-09-05","https://www.google.com/maps/search/Lopez+Roofing+Bryan+TX"
Bryan Outboard Inc,power_equipment_repair,"Bryan TX (702 N Texas Ave)",(979) 822-6836,,none,"Google Maps listing only; identifies as disabled-owned","Independent small-engine/outboard/Stihl dealer and repair shop; the only Stihl Gold-certified technician in the Brazos Valley per aggregator listings; 4.5(51) Google reviews; the domain bryanoutboard.com referenced by aggregators is registered but only redirects to a generic Stihl manufacturer product page with no independent business content, confirming no real live website of their own; verified 2026-09-05","https://www.google.com/maps/search/Bryan+Outboard+Inc+TX"
A True Clean Pressure Washing,pressure_washing,"College Station TX (service-area business, no public address)",(903) 245-2232,,none,"Facebook page (A True Clean Pressure Washing)","Independent pressure washing/roof cleaning sole proprietorship run by owner Ben Sanchez, in business since Jan 2021 per BBB; 5.0(4) Google reviews; no website found; verified 2026-09-05","https://www.google.com/maps/search/A+True+Clean+Pressure+Washing+College+Station+TX"
Aggieland Septic Service,septic_service,"Bryan TX (service-area business, no public address)",(979) 777-3900,,none,"Google Maps listing only","Independent septic pumping/service business; 4.2(5) Google reviews referencing named technicians Robert & Lanie; no website found; verified 2026-09-05","https://www.google.com/maps/search/Aggieland+Septic+Service+Bryan+TX"
Garcia Solar Screens,solar_screens,"Bryan TX (4308 Vintage Hills Dr)",(979) 324-7997,,none,"Directory listings only (Yelp, BBB, Facebook, LinkedIn)","Independent solar/sun screen installation business, family-owned by Raymond Garcia since 1968 (57 years); 5.0(7) Google reviews, one customer notes screens installed 25 years ago are still going strong; no website found; verified 2026-09-05","https://www.google.com/maps/search/Garcia+Solar+Screens+Bryan+TX"
M&C Countertops,tile_countertop,"Bryan TX (7082 Elmo Weedon Rd)",(979) 676-5935,,none,"Google Maps listing only (offers onsite services)","Independent countertop contractor; no reviews yet (new/thin listing) but real address+phone confirmed on Google's own place page; a similarly-named 'M & C Granite Countertops' website found in search is confirmed to be an unrelated Saint Paul, MN business -- name coincidence; no website found; verified 2026-09-05","https://www.google.com/maps/search/M%26C+Countertops+Bryan+TX"
